VTM_NM|year
Abacavir + Lamivudine + Dolutegravir|2018
Acacia|2018
Acamprosate|2018
Acarbose|2018
Acebutolol|2018
Aceclofenac|2018
Acemetacin|2018
Acenocoumarol|2018
Acetazolamide|2018
Acetic acid|2018
Acetic acid + Honey + Squill|2018
Acetone|2018
Acetylcysteine|2018
Aciclovir|2018
Acipimox|2018
Acitretin|2018
Aclidinium bromide|2018
Aclidinium bromide + Formoterol|2018
Acrivastine|2018
Activated charcoal|2018
Adapalene|2018
Adapalene + Benzoyl peroxide|2018
Adenosine|2018
Adrenaline|2018
Agomelatine|2018
Albiglutide|2018
Alendronic acid|2018
Alendronic acid + Colecalciferol|2018
Alfacalcidol|2018
Alfentanil|2018
Alfuzosin|2018
Alimemazine|2018
Alirocumab|2018
Aliskiren|2018
Allantoin + Lidocaine|2018
Allopurinol|2018
Almond oil|2018
Almotriptan|2018
Aloes + Sumatra benzoin|2018
Alogliptin|2018
Alogliptin + Metformin|2018
Alpha tocopherol|2018
Alprostadil|2018
Alum|2018
Aluminium chloride|2018
Aluminium hydroxide|2018
Aluminium hydroxide + Magnesium trisilicate|2018
Aluminium oxide|2018
Alverine|2018
Alverine + Simeticone|2018
Amantadine|2018
Amiloride|2018
Amiloride + Bumetanide|2018
Amiloride + Cyclopenthiazide|2018
Aminophylline|2018
Amiodarone|2018
Amisulpride|2018
Amitriptyline|2018
Amlodipine|2018
Amlodipine + Valsartan|2018
Ammonium bicarbonate|2018
Amobarbital|2018
Amorolfine|2018
Amoxicillin|2018
Ampicillin|2018
Anastrozole|2018
Anise oil|2018
Antazoline + Xylometazoline|2018
Apixaban|2018
Apomorphine|2018
Apraclonidine|2018
Aprepitant|2018
Arachis oil|2018
Arginine|2018
Aripiprazole|2018
Artemether + Lumefantrine|2018
Ascorbic acid|2018
Asenapine|2018
Aspirin|2018
Aspirin + Codeine|2018
Aspirin + Metoclopramide|2018
Atenolol|2018
Atenolol + Nifedipine|2018
Atomoxetine|2018
Atorvastatin|2018
Atovaquone|2018
Atropine|2018
Avanafil|2018
Azathioprine|2018
Azelaic acid|2018
Azelastine|2018
Azilsartan|2018
Azithromycin|2018
Baclofen|2018
Balsalazide|2018
Bambuterol|2018
Beclometasone|2018
Beclometasone + Formoterol|2018
Beclometasone + Formoterol + Glycopyrronium|2018
Bendroflumethiazide|2018
Benperidol|2018
Benzalkonium|2018
Benzocaine|2018
Benzocaine + Tyrothricin|2018
Benzoyl peroxide|2018
Benzoyl peroxide + Clindamycin|2018
Benzydamine|2018
Benzyl benzoate|2018
Benzylpenicillin|2018
Betahistine|2018
Betaine|2018
Betamethasone|2018
Betamethasone + Clioquinol|2018
Betamethasone + Clotrimazole|2018
Betamethasone + Fusidic acid|2018
Betamethasone + Neomycin|2018
Betaxolol|2018
Bethanechol|2018
Bezafibrate|2018
Bicalutamide|2018
Bifonazole|2018
Bimatoprost|2018
Bimatoprost + Timolol|2018
Biotin|2018
Bisacodyl|2018
Bismuth subsalicylate|2018
Bisoprolol|2018
Bisoprolol + Aspirin|2018
Brimonidine|2018
Brimonidine + Timolol|2018
Brinzolamide|2018
Brinzolamide + Brimonidine|2018
Brinzolamide + Timolol|2018
Brivaracetam|2018
Bromfenac|2018
Bromocriptine|2018
Budesonide|2018
Budesonide + Formoterol|2018
Bumetanide|2018
Bupivacaine|2018
Bupivacaine + Glucose|2018
Buprenorphine|2018
Buprenorphine + Naloxone|2018
Bupropion|2018
Buserelin|2018
Buspirone|2018
Busulfan|2018
Butobarbital|2018
Cabergoline|2018
Caffeine citrate|2018
Calamine + Zinc oxide|2018
Calcipotriol|2018
Calcipotriol + Betamethasone|2018
Calcitonin|2018
Calcitriol|2018
Calcium acetate|2018
Calcium acetate + Magnesium carbonate|2018
Calcium carbonate|2018
Calcium carbonate + Ergocalciferol|2018
Calcium carbonate + Magnesium carbonate|2018
Calcium carbonate + Sodium alginate + Sodium bicarbonate|2018
Calcium gluconate|2018
Calcium gluconate + Calcium lactate|2018
Calcium lactate|2018
Calcium lactate + Calcium phosphate + Ergocalciferol|2018
Calcium lactate gluconate + Calcium carbonate|2018
Calcium phosphate + Colecalciferol|2018
Calcium polystyrene sulfonate|2018
Canagliflozin|2018
Canagliflozin + Metformin|2018
Candesartan|2018
Capsaicin|2018
Captopril|2018
Carbamazepine|2018
Carbimazole|2018
Carbocisteine|2018
Carbomer|2018
Carmellose|2018
Carob seed|2018
Carteolol|2018
Carvedilol|2018
Castor oil + Zinc oxide|2018
Cefaclor|2018
Cefadroxil|2018
Cefalexin|2018
Cefixime|2018
Cefradine|2018
Ceftazidime|2018
Ceftriaxone|2018
Cefuroxime|2018
Celecoxib|2018
Celiprolol|2018
Cetirizine|2018
Cetrimide|2018
Cetrimide + Benzalkonium|2018
Cetrorelix|2018
Chloral hydrate|2018
Chlorambucil|2018
Chloramphenicol|2018
Chlordiazepoxide|2018
Chlorhexidine|2018
Chlorhexidine + Cetrimide|2018
Chlorhexidine + Isopropyl alcohol|2018
Chlorhexidine + Sodium fluoride|2018
Chloroquine phosphate|2018
Chloroxylenol|2018
Chlorphenamine|2018
Chlorpromazine|2018
Chlortalidone|2018
Cholera vaccine|2018
Choline salicylate|2018
Chondroitin|2018
Choriogonadotropin alfa|2018
Ciclesonide|2018
Ciclosporin|2018
Cilazapril|2018
Cilostazol|2018
Cimetidine|2018
Cinacalcet|2018
Cinchocaine + Hydrocortisone|2018
Cinchocaine + Prednisolone|2018
Cinnarizine|2018
Cinnarizine + Dimenhydrinate|2018
Ciprofibrate|2018
Ciprofloxacin|2018
Ciprofloxacin + Dexamethasone|2018
Citalopram|2018
Citric acid|2018
Citric acid + Magnesium carbonate|2018
Clarithromycin|2018
Clemastine|2018
Clindamycin|2018
Clindamycin + Tretinoin|2018
Clobazam|2018
Clobetasol|2018
Clobetasol + Neomycin + Nystatin|2018
Clobetasone|2018
Clobetasone + Oxytetracycline + Nystatin|2018
Clomethiazole|2018
Clomifene|2018
Clomipramine|2018
Clonazepam|2018
Clonidine|2018
Clopidogrel|2018
Cloral betaine|2018
Clotrimazole|2018
Clove oil|2018
Clozapine|2018
Co-amilofruse|2018
Co-amilozide|2018
Co-amoxiclav|2018
Co-beneldopa|2018
Co-careldopa|2018
Co-codamol|2018
Co-codaprin|2018
Co-cyprindiol|2018
Co-danthramer|2018
Co-danthrusate|2018
Co-dydramol|2018
Co-fluampicil|2018
Co-flumactone|2018
Co-magaldrox|2018
Co-simalcite|2018
Co-tenidone|2018
Co-triamterzide|2018
Co-trimoxazole|2018
Co-zidocapt|2018
Coal tar|2018
