AMP_NM;BNF_CODE;PRESENTATION;STRENGTH
;;;
;;;
;;;0.50%
;;;1000unit
;;;100mg
;;;100microgram
;;;10mg
;;;10mg/0.2ml
;;;10microgram/hour
;;;145mg /  40mg
;;;150mg
;;;15mg
;;;15mg/0.3ml
;;;17.5mg/0.35ml
;;;19.5mg
;;;1g
;;;1mg
;;;2%
;;;2.5mg
;;;2000unit
;;;200mg
;;;20mg
;;;20mg/0.4ml
;;;20mg/1ml
;;;20mg/5ml
;;;20microgram/hour
;;;2200unit
;;;2MG/ML
;;;2g/10ml
;;;2million unit
;;;300microgram/ml
;;;30mg
;;;360mg
;;;4%
;;;40%
;;;5%
;;;50000unit
;;;500mg
;;;50mg
;;;50microgram/dose
;;;5600unit
;;;5mg/5ml
;;;5mg/ml
;;;5microgram/hour
;;;600mg
;;;60mg
;;;7.5mg
;;;7.5mg/0.15ml
;;;7.5mg/0.3ml
;;;75mg
;;;75mg /  18.75mg /  200mg
;;;8.4g
;;;800unit
;;;82.95% /  15%
;;;90mg
;;ANKLET;
;;ANKLET;STOCK SIZ
;;BANDAGE;
;;BANDAGE;10CMX4.5M
;;BANDAGE;10CMX5M
;;BANDAGE;15CMX4.5M
;;BANDAGE;2.5CMX5M
;;BANDAGE;5CMX4.5M
;;BANDAGE;5CMX5M
;;BANDAGE;7.5CMX4.5
;;BANDAGE;7.5CMX5M
;;BANDAGE;EX.LARGE
;;BANDAGE;LARGE
;;BANDAGE;MEDIUM
;;BANDAGE;SMALL
;;CARTON;25G
;;CATHETER;
;;CHIROPODY;WALLET 9
;;COTTON WOOL;100G
;;COTTON WOOL;25G
;;COTTON WOOL;500G
;;CREAM;
;;CYLINDER;2122L
;;CYLINDER;419L
;;Capsule;60mg /  300mg
;;Catheter valves;CV3808
;;Chewable tablet;50mg
;;Colostomy bags;9010-10,Cut to fit 10mm-55mm/70mm,Opaque,midi
;;Colostomy bags;9050-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi
;;Colostomy bags;9310-37,Cut to fit 10mm-37mm,Opaque,midi
;;Colostomy bags;9310-46,Cut to fit 10mm-46mm,Opaque,midi
;;Colostomy bags;9310-59,Cut to fit 10mm-59mm,Opaque,maxi
;;Colostomy bags;971-54,Cut to fit 15mm-54mm,Opaque,maxi
;;ConvaTec Ltd;Cut to fit 20mm-70mm, Opaque, 421686,
;;Cream;0.01%
;;Cream;10mg/g
;;Cream;15% /  6%
;;DRESSING;
;;DRESSING;NO.1
;;DRESSING;SPEC 35
;;DROPPER;
;;Dansac Ltd;Cut to fit 15mm-34mm, Beige, 3071-34,
;;Dansac Ltd;Cut to fit 15mm-44mm, Beige, 3071-44,
;;ELASTIC HOSIERY;
;;EYE BATH;PLASTIC
;;EYE SHADES;
;;Effervescent tablet;
;;Effervescent tablet;1.25g
;;Effervescent tablet;125mg
;;Effervescent tablet;150mg
;;Effervescent tablet;2.263g /  1.75g
;;Effervescent tablet;250mg
;;Effervescent tablet;300mg
;;Effervescent tablet;400unit /  1.5g
;;Enema;2.5mg/1.25ml
;;Eye drops;0.3% /  0.1%
;;Eye drops;0.32%
;;Eye drops;0.44%
;;Eye drops;0.50%
;;Eye drops;1%
