AMP_NM;BNF_CODE;PRESENTATION;STRENGTH
;;;
;;;
;;;
;;;200mg
;;;50mg/10ml
;;;63%
;;;63.40%
;;AMPOULE;5MG/1ML
;;AMPOULES;250MCG/ML
;;ANKLET;
;;ANKLET;STOCK SIZ
;;B/K X/M C/TOE;XS-L
;;BANDAGE;
;;BANDAGE;10CMX4.5M
;;BANDAGE;10CMX5M
;;BANDAGE;15CMX4.5M
;;BANDAGE;2.5CMX5M
;;BANDAGE;5CMX4.5M
;;BANDAGE;5CMX5M
;;BANDAGE;7.5CMX4.5
;;BANDAGE;7.5CMX5M
;;BANDAGE;EX.LARGE
;;BANDAGE;LARGE
;;BANDAGE;MEDIUM
;;BANDAGE;SMALL
;;CAPSULE;4MG
;;CAPSULES;2MG
;;CARTON;25G
;;CARTRIDGE;10MG
;;CATHETER;
;;CHEWING GUM;2MG
;;CHIROPODY;WALLET 9
;;COTTON WOOL;100G
;;COTTON WOOL;25G
;;COTTON WOOL;500G
;;CREAM;
;;CRYSTALS;
;;CYLINDER;2122L
;;CYLINDER;419L
;;Capsule;
;;Capsule;1000unit
;;Capsule;100mg
;;Capsule;10mg
;;Capsule;10mg /  100mg
;;Capsule;200mg
;;Capsule;20mg
;;Capsule;25mg
;;Capsule;25mg/200mg
;;Capsule;290microgram
;;Capsule;2mg
;;Capsule;37.5mg/500mg
;;Capsule;400mg
;;Capsule;40mg
;;Capsule;50mg
;;Capsule;5mg /  100mg
;;Capsule;667mg
;;Catheter valves;CV3808
;;Chewable tablet;1000unit /  2.5g
;;Chewable tablet;25mg
;;Chewable tablet;500mg /  100mg
;;Colostomy bags;9010-10,Cut to fit 10mm-55mm/70mm,Opaque,midi
;;Colostomy bags;9050-10,Cut to fit 10mm-70mm/90mm,Opaque,maxi
;;Colostomy bags;9310-37,Cut to fit 10mm-37mm,Opaque,midi
;;Colostomy bags;9310-46,Cut to fit 10mm-46mm,Opaque,midi
;;Colostomy bags;9310-59,Cut to fit 10mm-59mm,Opaque,maxi
;;Colostomy bags;971-54,Cut to fit 15mm-54mm,Opaque,maxi
;;Cream;0
;;Cream;15% /  6%
;;Cream;2%
;;Cream;2.5% /  2.5%
;;Cream;3%
;;Cream;3.00%
;;Cream;4%
;;Cream;4.00%
;;Cutaneous emulsion;
;;DRESSING;
;;DRESSING;NO.1
;;DRESSING;SPEC 35
;;DROPPER;
;;DROPS;0.3MG/ML
;;Dispersible tablet;50mg
;;DreamSkin Health Ltd;3-4 years girl
;;DreamSkin Health Ltd;5-6 years girl
;;ELASTIC HOSIERY;
;;EYE BATH;PLASTIC
;;EYE DROP;300microgram/ml
;;EYE SHADES;
;;Ear drops;0.3% /  0.1%
;;Effervescent tablet;
;;Effervescent tablet;1.25g
;;Effervescent tablet;125mg
;;Effervescent tablet;150mg
;;Effervescent tablet;2.263g /  1.75g
;;Effervescent tablet;250mg
;;Effervescent tablet;300mg
;;Effervescent tablet;400unit /  1.5g
;;Effervescent tablet;70mg
;;Enema;2g/59ml
;;Eye drops;0
;;Eye drops;1%
;;Eye drops;10mg/ml
;;Eye drops;15microgram/
;;Eye drops;1m/
;;Eye drops;2%
;;Eye drops;2% /  0.5%
